model,split,inference_time_seconds,Accuracy,Balanced Accuracy,Macro-F1,Weighted-F1,Precision,Recall,Specificity,ROC-AUC,PR-AUC,False Positive Rate,False Negative Rate,Brier Score,Expected Calibration Error,fit_time_seconds
Persistence risk baseline,validation,0.00026679039001464844,0.9809830163836064,0.8888564216986532,0.8866705107623878,0.9810364326819632,0.7787009063444109,0.7879251050821552,0.9897877383151511,0.8888564216986532,0.6228081476282256,0.010212261684848907,0.2120748949178448,0.019016983616393607,0.019016983616393604,
Persistence risk baseline,test,0.0002079010009765625,0.9810663511058517,0.9319421637948238,0.9345406854629512,0.9810093242140135,0.8851828094932649,0.8736020257438278,0.9902823018458198,0.9319421637948239,0.7832809952519245,0.009717698154180238,0.12639797425617216,0.018933648894148235,0.01893364889414824,
Persistence risk baseline,external_test,0.00015616416931152344,0.9802163369389489,0.9013872047384992,0.903196334031643,0.9801717235361662,0.8207751937984497,0.812960687960688,0.9898137215163104,0.9013872047384991,0.6774081353809408,0.010186278483689618,0.18703931203931198,0.01978366306105102,0.01978366306105102,
Seasonal previous-day risk baseline,validation,0.0003032684326171875,0.9582159702661711,0.7544179414652165,0.7519815609446872,0.9584157513689279,0.5205992509363296,0.5311425296140619,0.977693353316371,0.7544179414652165,0.2969627438965219,0.022306646683629014,0.46885747038593795,0.041784029733828894,0.041784029733828894,
Seasonal previous-day risk baseline,test,0.00018095970153808594,0.9527158785979767,0.836779397774086,0.8372673516876965,0.9526816113844327,0.7013124470787468,0.699092635577126,0.974466159971046,0.8367793977740859,0.5140494297757046,0.025533840028954036,0.30090736442287397,0.047284121402023364,0.04728412140202337,
Seasonal previous-day risk baseline,external_test,0.00020694732666015625,0.9572492874881248,0.7915378168933673,0.7916644705222453,0.9572400006223387,0.606209652628343,0.6056511056511057,0.9774245281356291,0.7915378168933673,0.38855190304333986,0.022575471864370936,0.39434889434889425,0.0427507125118752,0.042750712511875205,
Bayesian Ridge risk approximation,validation,0.061866044998168945,0.9648994149902499,0.8622133685200726,0.8161336986973038,0.9670935914650629,0.5748608262525637,0.7497134123041651,0.9747133247359799,0.981578177672638,0.6922038580056139,0.025286675264020075,0.25028658769583484,0.039141732790481394,0.06541966225790291,
Bayesian Ridge risk approximation,test,0.056452274322509766,0.9397156619276988,0.658120659176284,0.7135087439672483,0.9278651925976252,0.7882836587872559,0.3236969824857565,0.9925443358668115,0.9769783380099538,0.7398021076393172,0.007455664133188563,0.6763030175142434,0.04008646965428052,0.03633289165193185,
Bayesian Ridge risk approximation,external_test,0.053315162658691406,0.9110151835863931,0.8254289237681462,0.7111166215762915,0.9253417144681828,0.3475779306307625,0.7294226044226044,0.9214352431136881,0.9532801153838111,0.6168317196396749,0.07856475688631197,0.2705773955773955,0.05567977265380398,0.09180299195375788,
Gaussian Naive Bayes,validation,0.0760352611541748,0.8803313388556476,0.9195670237366518,0.672862631210622,0.9106563938815545,0.2623685032809082,0.9625525410775697,0.8765815063957338,0.9727008513505485,0.5777622955074432,0.12341849360426614,0.03744745892243025,0.11328459853607378,0.11663641973780069,1.2752468585968018
Gaussian Naive Bayes,test,0.07331180572509766,0.8877481291354856,0.9153318021573017,0.7535022745393989,0.9066761943200777,0.4091240211254781,0.9480903144123233,0.8825732899022801,0.9707862225011317,0.6873755434756539,0.11742671009771986,0.05190968558767672,0.10743971762106196,0.10965322148048641,1.2752468585968018
Gaussian Naive Bayes,external_test,0.07946300506591797,0.858614310238504,0.9080253234322899,0.6722743483373007,0.8925733082022418,0.2727588905312581,0.9634520884520884,0.8525985584124914,0.9657411037636352,0.5798954318379509,0.1474014415875086,0.03654791154791154,0.13624143325153198,0.13906409591254776,1.2752468585968018
Logistic Regression,validation,0.0456540584564209,0.9783829730495508,0.9593410128478577,0.889855694840193,0.9799876225430277,0.6837416481069042,0.938479174627436,0.9802028510682792,0.9950253546188528,0.9034988803215811,0.01979714893172075,0.06152082537256398,0.016109499591911425,0.019916840923861798,3.6003258228302
Logistic Regression,test,0.0455019474029541,0.9670661177686295,0.832608882928842,0.8728837438903732,0.9650163358296391,0.8821576763485477,0.6729267778012239,0.9922909880564603,0.9932338805899591,0.9120718430396056,0.007709011943539631,0.32707322219877605,0.021484090383951212,0.0171934805040333,3.6003258228302
Logistic Regression,external_test,0.04009509086608887,0.9664827747129119,0.921629086093205,0.8602080435808745,0.968865698206009,0.640550914427636,0.8713144963144963,0.9719436758719138,0.9899359102234346,0.861891578165684,0.028056324128086285,0.12868550368550366,0.024067655916928363,0.02372636650507303,3.6003258228302
Random Forest,validation,0.14396309852600098,0.9730495508258471,0.9778870388258154,0.8733124433796784,0.975914116857953,0.620598166907863,0.9831868551776843,0.9725872224739466,0.9966587909461342,0.9310876406582536,0.027412777526053467,0.016813144822315624,0.019522561546523907,0.0342943836488717,14.418810844421387
Random Forest,test,0.158735990524292,0.9729828830480508,0.9774233043021625,0.9184487166340446,0.9746023246032687,0.7516139444803098,0.9826967714707744,0.9721498371335505,0.997082494485773,0.9638570651599082,0.02785016286644951,0.01730322852922557,0.01980288387202745,0.03191408458456943,14.418810844421387
Random Forest,external_test,0.2262561321258545,0.9724495408256805,0.9781967770023565,0.8901362673620035,0.9749109825341775,0.6666666666666666,0.9846437346437347,0.9717498193609785,0.9966520673127656,0.9409435013183023,0.028250180639021554,0.015356265356265351,0.020264493472903208,0.035080446872882046,14.418810844421387
Extra Trees,validation,0.1639881134033203,0.961782696378273,0.9710849652857738,0.8354875006615796,0.9670560072894037,0.5336658354114713,0.9812762705387849,0.9608936600327629,0.9949552135014239,0.9005967952026162,0.039106339967237114,0.018723729461215127,0.027385501674499726,0.05111213933459319,4.860805034637451
Extra Trees,test,0.30126523971557617,0.9617493624893748,0.9725788321958916,0.8907857533279938,0.9649142889834841,0.6772041763341067,0.9854399662376029,0.9597176981541803,0.9955875988259226,0.9463047856367904,0.04028230184581976,0.014560033762397128,0.02746764106112864,0.050290020457755824,4.860805034637451
Extra Trees,external_test,0.1898808479309082,0.9594493241554026,0.9713236825237425,0.8515202953336789,0.964371684562039,0.5736267668634818,0.9846437346437347,0.9580036304037503,0.9948702176774361,0.9172019215548951,0.04199636959624976,0.015356265356265351,0.02945222974295247,0.0548410165327457,4.860805034637451
HistGradientBoostingClassifier,validation,0.22582674026489258,0.9811830197169953,0.9779453099592116,0.904413693108635,0.9826036163317492,0.7059800664451827,0.9743981658387466,0.9814924540796766,0.9978880984341516,0.9589173621634587,0.018507545920323446,0.025601834161253334,0.013670024811791531,0.01923953741495512,17.79567790031433
HistGradientBoostingClassifier,test,0.2108898162841797,0.9810330172169536,0.9795749888669167,0.9401280228714624,0.9817984444900086,0.8177166049055938,0.9778434268833087,0.9813065508505248,0.9979517398884072,0.978037493445097,0.018693449149475207,0.02215657311669128,0.013918248417678797,0.017506033340274795,17.79567790031433
HistGradientBoostingClassifier,external_test,0.21752285957336426,0.9815163586059767,0.979950548944742,0.9209310154735721,0.9826318579740086,0.7542031730996922,0.9781941031941032,0.9817069946953809,0.9977782114807827,0.9629383460798948,0.01829300530461907,0.0218058968058968,0.013847374498058248,0.01921102142463203,17.79567790031433
MLPClassifier,validation,0.12183594703674316,0.9854164236070602,0.93967797309338,0.9170783174244276,0.9857890537299991,0.7989018531228552,0.8895682078716087,0.9897877383151511,0.9964840075122449,0.9340650852756269,0.010212261684848907,0.11043179212839124,0.010428523944037791,0.005897867033783797,24.604572057724
MLPClassifier,test,0.07638931274414062,0.969416156935949,0.8486429514237096,0.884069316033292,0.9678262653192891,0.8841269841269841,0.7052120700569741,0.9920738327904451,0.9929349656102096,0.9175507350740651,0.007926167209554831,0.2947879299430259,0.02321599531616363,0.020104301690148672,24.604572057724
MLPClassifier,external_test,0.07186508178710938,0.9772329538825647,0.9281811124912918,0.8971009055381718,0.9780502108774082,0.7489462592202318,0.8731572481572482,0.9832049768253353,0.9932324451714509,0.9087136421910422,0.016795023174664716,0.12684275184275182,0.016994725883226296,0.013215283462869537,24.604572057724
XGBoost,validation,0.09756684303283691,0.9771496191603194,0.9793011884354538,0.8886440503259252,0.9792592583501465,0.6600719424460432,0.9816583874665648,0.9769439894043428,0.997336885010134,0.9484386438948695,0.023056010595657175,0.018341612533435223,0.016604491325698398,0.026021454055704486,4.750655889511108
XGBoost,test,0.0710761547088623,0.9771162852714211,0.977930973661924,0.9292677794836937,0.9782536423535522,0.7846752368064953,0.9788985017936274,0.9769634455302207,0.9973528827296648,0.9714345159430076,0.023036554469779227,0.021101498206372648,0.01693231728661306,0.02357514896407442,4.750655889511108
XGBoost,external_test,0.062191009521484375,0.9777162952715879,0.9775072375767615,0.9072401277911917,0.9793185776367681,0.7158605174353205,0.9772727272727273,0.9777417478807958,0.9970813813270152,0.952451081718505,0.022258252119204132,0.02272727272727272,0.016824642002445118,0.025943928879776916,4.750655889511108
LightGBM,validation,0.17424702644348145,0.9778996316605276,0.9807873670393643,0.8917817112265936,0.9798979960492754,0.6672713138118683,0.9839510890332441,0.9776236450454846,0.9978484796571514,0.9578407461982924,0.022376354954515353,0.01604891096675582,0.01647279935667897,0.02361713635423602,5.617686033248901
LightGBM,test,0.10638809204101562,0.9778162969382823,0.9811083166709397,0.9315243044962845,0.9789320266677386,0.7874493927125507,0.9850179362734754,0.9771986970684039,0.9980361707020322,0.97881346064253,0.02280130293159609,0.01498206372652458,0.016572748350270703,0.02235814624274403,5.617686033248901
LightGBM,external_test,0.10972476005554199,0.9782329705495092,0.9819781778492545,0.909685734773886,0.9798276107649853,0.7180232558139535,0.9861793611793612,0.9777769945191478,0.997759852052452,0.9617896155594121,0.022223005480852265,0.013820638820638817,0.016705494401955793,0.024058868892680794,5.617686033248901
