model,split,inference_time_seconds,MAE,RMSE,sMAPE,MAPE_safe,R2,normalized_RMSE,ramp_MAE,fit_time_seconds,interval_coverage_probability,mean_prediction_interval_width,pinball_loss_q05,pinball_loss_q95,interval_calibration_error
Persistence forecast,validation,0.00013899803161621094,0.793397480886497,1.2393476117729192,0.179103052917803,0.42663690991018444,0.97993262866534,0.14165934960344992,0.793397480886497,,,,,,
Persistence forecast,test,0.00015687942504882812,0.8908820815229239,1.310259670431793,0.23788710252559456,0.618050108232683,0.9793489585250108,0.14370470232549562,0.8908820815229239,,,,,,
Persistence forecast,external_test,0.00016999244689941406,0.806777763412859,1.2434891084667485,0.2051962139729667,0.4835567070367138,0.9806490076960471,0.1391078441340507,0.806777763412859,,,,,,
Seasonal persistence forecast,validation,0.0001308917999267578,1.7541575089849537,2.7053975525061738,0.32874774651590916,0.9625213182580958,0.9043761105847007,0.3092311261717348,1.7541575089849537,,,,,,
Seasonal persistence forecast,test,0.00017881393432617188,1.809477713134883,2.7763991606936558,0.3866802228810238,1.099273334437149,0.9072762429514679,0.30450575861253076,1.809477713134883,,,,,,
Seasonal persistence forecast,external_test,0.0002009868621826172,1.7734220899866875,2.727417904272007,0.3666436839941642,1.0896254877694185,0.9069057959591901,0.30511342812138115,1.7734220899866875,,,,,,
Ridge,validation,0.029963970184326172,0.4971105209449989,0.7851489009528501,0.12768423040488827,0.28232111838172197,0.9919460621702172,0.08974373419878211,0.4971105209449989,0.9998490810394287,,,,,
Ridge,test,0.043740272521972656,0.5470848733821119,0.790858437057767,0.16598507731909215,0.3697210947981653,0.9924764170121813,0.08673858994800626,0.5470848733821119,0.9998490810394287,,,,,
Ridge,external_test,0.039689064025878906,0.5059687746345574,0.7701171518476099,0.14393363742431425,0.28993291766581225,0.9925777964445712,0.08615221154310662,0.5059687746345574,0.9998490810394287,,,,,
ElasticNet,validation,0.06653904914855957,0.49025498583191335,0.782953984273916,0.12632901624143994,0.28261692422444307,0.991991029470165,0.08949285182630005,0.49025498583191335,10.722554206848145,,,,,
ElasticNet,test,0.053462982177734375,0.5369305719099444,0.7862368792555191,0.1644559066394121,0.3695039505871524,0.9925640915616011,0.0862317136369669,0.5369305719099444,10.722554206848145,,,,,
ElasticNet,external_test,0.05094313621520996,0.5032402248786875,0.7702318533619336,0.14337164949750517,0.2891630842389008,0.9925755853488056,0.08616504308322051,0.5032402248786875,10.722554206848145,,,,,
RandomForestRegressor,validation,0.2316751480102539,0.39381622143843176,0.632267618089474,0.1043527394135443,0.23987525888217479,0.9947771674967123,0.0722691670222771,0.39381622143843176,84.2735288143158,,,,,
RandomForestRegressor,test,0.19188714027404785,0.4121545283746361,0.6231341557474139,0.13246924839540353,0.2819983828928529,0.995329210178612,0.06834317683839039,0.4121545283746361,84.2735288143158,,,,,
RandomForestRegressor,external_test,0.28150105476379395,0.38549639283018544,0.6018160351299573,0.11412653702964587,0.2125301832769398,0.9954674064221732,0.06732453918752528,0.38549639283018544,84.2735288143158,,,,,
ExtraTreesRegressor,validation,0.5398051738739014,0.38403832781609104,0.627629425385304,0.10199976781639543,0.24397194707386363,0.9948535138089054,0.07173901441975725,0.38403832781609104,31.14597487449646,,,,,
ExtraTreesRegressor,test,0.4282259941101074,0.40218774909078575,0.6160602905700406,0.13149988083444544,0.28921505986087864,0.9954346545611698,0.06756734002333363,0.40218774909078575,31.14597487449646,,,,,
ExtraTreesRegressor,external_test,0.49352288246154785,0.3748018683063728,0.5902888850759738,0.11220828534066146,0.2176385793511444,0.9956393776119246,0.0660350087991196,0.3748018683063728,31.14597487449646,,,,,
HistGradientBoostingRegressor,validation,0.20038723945617676,0.3970180848117024,0.6076215809044313,0.1055077205884532,0.22984336509644127,0.9951764076326746,0.06945208683850113,0.3970180848117024,12.378600120544434,,,,,
HistGradientBoostingRegressor,test,0.1929328441619873,0.4216333493326064,0.609460794390734,0.13745689518362367,0.30390848266356524,0.9955319424503795,0.0668435303424381,0.4216333493326064,12.378600120544434,,,,,
HistGradientBoostingRegressor,external_test,0.23062396049499512,0.38464471082119955,0.5652575152763043,0.11569073381655459,0.22476705637746663,0.9960013631950406,0.06323477527488097,0.38464471082119955,12.378600120544434,,,,,
XGBoost Regressor,validation,0.056678056716918945,0.4302725746641335,0.6635676289799508,0.11293081621742945,0.25133854820234347,0.9942472619127152,0.07584680669593008,0.4302725746641335,2.7383339405059814,,,,,
XGBoost Regressor,test,0.05870485305786133,0.45604201016692586,0.6640428122333182,0.1470701718744561,0.334513162734199,0.9946958063438676,0.07282989533817104,0.45604201016692586,2.7383339405059814,,,,,
XGBoost Regressor,external_test,0.05937480926513672,0.43147335938024384,0.6435161193468013,0.12718120129019667,0.2490462684955282,0.9948175141054489,0.07198948460290255,0.43147335938024384,2.7383339405059814,,,,,
Quantile Gradient Boosting conformal,validation,0.4285881519317627,0.43905670098523775,0.6950351576928582,0.11554760455854139,0.2686184757951916,0.9936887153842863,0.07944359391587842,0.43905670098523775,,0.9935332255537592,6.61782151411629,0.1863642769100942,0.14860717425584524,0.0935332255537592
Quantile Gradient Boosting conformal,test,0.4415891170501709,0.45764728332077137,0.6890581554249209,0.14654725144691733,0.3274839273501031,0.9942886474915132,0.07557349077046784,0.45764728332077137,,0.9955332588876481,7.039492252519136,0.2054389057905349,0.14848769375404003,0.09553325888764808
Quantile Gradient Boosting conformal,external_test,0.3900442123413086,0.4348577950836329,0.6720451021545468,0.12744434936249766,0.2586930072836548,0.9943478183673734,0.07518099248721065,0.4348577950836329,,0.9958832647210787,6.798734922506641,0.19342082837531394,0.14862340622130374,0.09588326472107866
